threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.9998,30,2,0.14,0.007238883143743537,0.013765978367748278,0.9621337964361221,0.023997630211367017,5,43,14,-29.6210713333424,14.699874853785264,ANN
0.9996,30,2,0.09523809523809523,0.008273009307135471,0.015223596574690773,0.960925702204772,0.017662787595916603,6,76,13,-30.247754951725483,13.600429909253538,ANN
0.9998,35,2,0.09195402298850575,0.008273009307135471,0.015180265654648957,0.9608124433705829,0.016971256367747857,6,79,13,-30.54430344264975,13.08016939886009,ANN
0.999,25,2,0.0898876404494382,0.008273009307135471,0.015151515151515152,0.9607369374811235,0.016526136617260524,6,81,13,-30.79775495172548,12.635517628551789,ANN
0.9995,30,2,0.10101010101010101,0.010341261633919338,0.01876172607879925,0.9605104198127454,0.021065567086496265,6,89,13,-30.853872499681817,12.537065790031901,ANN
0.9997,30,2,0.109375,0.007238883143743537,0.013579049466537343,0.9616052552099064,0.019121152351155853,5,57,14,-31.15930112811583,12.001226091024863,ANN
0.9997,35,2,0.09259259259259259,0.010341261633919338,0.018604651162790697,0.9601706433101782,0.01913428007581225,6,98,13,-31.84387249968181,10.800223684768751,ANN
0.9996,50,3,0.0784313725490196,0.004136504653567736,0.007858546168958742,0.9618695258230142,0.009818194933712299,4,47,15,-32.08750825011752,10.372792543653468,ANN
0.9995,25,2,0.125,0.0062047569803516025,0.011822660098522167,0.9621337964361221,0.02010413629272024,4,42,15,-32.22573143377253,10.130295730223631,ANN
0.9998,40,2,0.09482758620689655,0.011375387797311272,0.020313942751615882,0.9599441256418001,0.020623658189156763,6,105,13,-32.61158210709598,9.453364724393023,ANN
0.9996,35,2,0.09090909090909091,0.011375387797311272,0.02022058823529412,0.9597553609181516,0.019650075599585273,6,110,13,-33.16157171309099,8.488470678787731,ANN
0.9995,50,3,0.08450704225352113,0.0062047569803516025,0.011560693641618498,0.9612654787073391,0.013268299014893983,4,65,15,-33.93080251039998,7.138942964210564,ANN
0.999,40,3,0.07317073170731707,0.0031023784901758012,0.005952380952380952,0.9621715493808517,0.0076970856344642045,3,38,16,-34.049977646434264,6.929863778185501,ANN
0.9995,35,2,0.08633093525179857,0.012409513960703205,0.021699819168173595,0.9591513138024766,0.019295213772519977,6,127,13,-35.03157171309099,5.207768924401772,ANN
0.9997,40,2,0.08571428571428572,0.012409513960703205,0.021680216802168018,0.9591135608577469,0.01912519299218133,6,128,13,-35.05458188407067,5.167400203384787,ANN
0.9997,25,2,0.07692307692307693,0.002068252326783868,0.004028197381671702,0.9626623376623377,0.006754847296096657,2,24,17,-35.37486936525144,4.605492341664137,ANN
0.999,20,2,0.07142857142857142,0.002068252326783868,0.004020100502512563,0.9625868317728783,0.006057086108136897,2,26,17,-35.591671931318736,4.225136962598709,ANN
0.9997,50,3,0.05714285714285714,0.002068252326783868,0.003992015968063872,0.9623225611597704,0.004002248981402288,2,33,17,-35.773449278887085,3.9062293352858153,ANN
0.999,30,2,0.08108108108108109,0.012409513960703205,0.021524663677130042,0.9588115372999094,0.0178152330341427,6,136,13,-35.99378069809988,3.519682985789679,ANN
0.9997,40,3,0.1,0.001034126163391934,0.0020470829068577278,0.9631908788885533,0.006579148338231673,1,9,18,-36.12068341534683,3.2970466397424,ANN
0.999,50,3,0.1092436974789916,0.01344364012409514,0.02394106813996317,0.9599818785865297,0.026053539557081326,5,106,14,-36.19542562080784,3.165919963495019,ANN
0.9998,25,2,0.14285714285714285,0.001034126163391934,0.002053388090349076,0.9633041377227424,0.009219483587739769,1,6,18,-36.36309455315223,2.871763941838193,ANN
0.9996,25,2,0.08108108108108109,0.0031023784901758012,0.00597609561752988,0.9623225611597704,0.008888906734492092,2,34,17,-36.474869365251436,2.675667780260638,ANN
0.9996,40,3,0.06666666666666667,0.001034126163391934,0.0020366598778004076,0.9630021141649049,0.003827861971119711,1,14,18,-36.67068341534683,2.3321343590406505,ANN
0.999,35,3,0.05,0.001034126163391934,0.002026342451874367,0.9628133494412564,0.0019776384727798533,1,19,18,-37.22068341534683,1.3672220783389009,ANN
0.999,50,4,0.05,0.001034126163391934,0.002026342451874367,0.9628133494412564,0.0019776384727798533,1,19,18,-37.223512975472104,1.362257937768238,ANN
